"","X1","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019"
"1",1,"Brahmaputra",1,708911109.254286,72.7300621914939,289.054624253601,273.207341862522,305.319235816166,204.752867687621,249.984609449764,201.156990794413
"2",2,"Brahmaputra",2,708911109.254286,98.9944021703617,106.27716432949,81.2075740508643,136.522942779395,217.312416844695,261.868572660808,209.991070679347
"3",3,"Brahmaputra",3,708911109.254286,300.494312996615,280.753170235369,213.787534126401,361.796656135334,640.933799522551,832.355466738188,667.146602931984
"4",4,"Brahmaputra",4,708911109.254286,89.5942085827267,98.2358746807623,74.6417692385066,127.475796443026,249.414195864042,304.634286783833,245.552975083285
"5",5,"Brahmaputra",5,708911109.254286,225.301360079168,171.048249006554,125.823437177432,228.625831137213,290.617798478006,342.958207610422,271.178595140905
"6",6,"Brahmaputra",6,708911109.254286,165.622076485626,110.042446982231,76.1513815789848,155.900621275106,217.073412586443,254.631743990672,200.249437060341
"7",7,"Brahmaputra",7,708911109.254286,184.333904531237,108.238051183124,69.1872273926358,162.741759933981,242.164027269883,283.245812617182,221.979803910228
"8",8,"Brahmaputra",8,708911109.254286,266.255941202012,142.899567127116,83.059781516929,231.407727490234,346.617882926106,404.882008922113,316.673928092591
"9",1,"Connecticut",1,85798546.6943284,5276.11865024871,5466.37437484683,5249.16397799158,5693.68277252142,4560.64224353825,5447.18003164474,4330.46328236639
"10",2,"Connecticut",2,85798546.6943284,5015.11685228593,6034.19879054982,4265.95803325368,8299.7218492506,4240.9328727015,5052.92911509756,4012.7712130944
"11",3,"Connecticut",3,85798546.6943284,3274.28308674506,4260.99415607334,2986.47093782021,5905.78349059401,3327.08316413142,3995.80632551286,3201.52903238099
"12",4,"Connecticut",4,85798546.6943284,5121.36907643197,6914.97355099161,4814.11164703737,9549.60215361842,4901.46273871256,5827.18811918187,4661.00022300521
"13",5,"Connecticut",5,85798546.6943284,6635.2707936311,8613.6102328569,5969.3739137873,12071.4049882854,6937.71297111586,8373.3662288163,6725.54658013893
"14",6,"Connecticut",6,85798546.6943284,6358.17218325916,7267.59334161312,5144.502086213,10054.8294840001,6824.09392773161,8286.02766126551,6649.7384104575
"15",7,"Connecticut",7,85798546.6943284,6738.04939285299,6120.9767005788,4259.13689536634,8500.4850039535,7721.85060119412,9640.27069734558,7737.64407915506
"16",8,"Connecticut",8,85798546.6943284,4125.99399189122,5314.32187037114,3698.43187300448,7419.19898617343,4578.87233685282,5602.82568765111,4497.77815374592
"17",9,"Connecticut",9,85798546.6943284,2928.36249201299,3493.02592506647,2454.89139979871,4834.73838152836,3190.48504132667,3878.81000967338,3113.59553497121
"18",10,"Connecticut",10,85798546.6943284,3000.45970594032,3715.93778202733,2599.53890013127,5167.63660725439,3209.92058983577,3892.41852130133,3122.86891759103
"19",11,"Connecticut",11,85798546.6943284,2071.74379508001,2504.84162923284,1749.22064801656,3479.21519562774,2176.74109778031,2630.74248563356,2109.08208910042
"20",12,"Connecticut",12,85798546.6943284,762.257967960521,937.501536549119,655.023896439309,1291.82024942037,822.679829528354,998.995128923509,801.714262798333
"21",13,"Connecticut",13,85798546.6943284,1027.87567370187,1293.48598050992,904.843213680881,1796.85410061547,1055.22674997984,1269.31149576546,1016.7998071971
"22",14,"Connecticut",14,85798546.6943284,1185.39295885747,1483.04410764845,1041.29279188971,2062.28856487562,1237.46035046492,1496.01202421651,1199.19087968063
"23",15,"Connecticut",15,85798546.6943284,1931.87233426325,2164.65312271366,1517.42136323486,3015.18977611301,1780.7636522827,2149.19350409779,1714.23578310242
"24",1,"Cumberland",1,8018750.35113469,221.096971841337,97.8732362583727,93.699568047123,102.269826514884,152.20019903349,186.520058427231,149.549818857886
"25",2,"Cumberland",2,8018750.35113469,399.002186073224,360.816858968839,257.269049795975,482.193875034727,273.71309310399,336.063680722713,269.074886873533
"26",3,"Cumberland",3,8018750.35113469,400.826767677546,364.930113663922,259.288683712497,489.247716419334,278.315024222747,342.126915985435,274.354039754051
"27",4,"Cumberland",4,8018750.35113469,375.878128909623,335.592741168433,241.603700469197,456.528949821301,261.494754753044,319.913293666828,256.076753711746
"28",5,"Cumberland",5,8018750.35113469,519.446093020559,445.539442073059,317.672466725209,605.759210176666,374.710387446489,454.300500789224,363.313786497495
"29",6,"Cumberland",6,8018750.35113469,626.085594769638,572.320733141743,410.948063476882,779.879794843111,431.743831137413,532.924269726093,427.078688049779
"30",7,"Cumberland",7,8018750.35113469,580.41774485765,518.355217935213,375.206645686347,705.826935765349,402.712704619123,491.185988682202,393.273484044822
"31",8,"Cumberland",8,8018750.35113469,193.243008375357,151.012067296092,106.103415123052,210.132223247435,145.109104298133,171.055468732775,136.40792133728
"32",9,"Cumberland",9,8018750.35113469,256.78827362588,196.487313814484,137.940925858365,271.204654088067,198.033468825429,232.344505022681,184.911229477095
"33",10,"Cumberland",10,8018750.35113469,317.84768709638,419.253979887353,299.034376949676,572.036604405895,234.404411312173,268.161574938842,212.817805337511
"34",11,"Cumberland",11,8018750.35113469,325.58651421559,221.638934775513,158.179198761555,303.768492421784,247.017164554652,287.0701050254,228.36467540542
"35",12,"Cumberland",12,8018750.35113469,248.382419671508,179.020229354876,127.249905993521,251.302628193107,190.240448558276,222.647068449039,177.164113025782
"36",1,"Ganges",1,548884989.53774,175.616417790004,366.699373713971,355.429043253481,378.347652012339,266.663752157276,333.469127951002,267.98258350056
"37",2,"Ganges",2,548884989.53774,219.112522621323,164.497395196849,137.623586127156,195.340525678397,331.824584481627,413.68543834935,332.471866862763
"38",3,"Ganges",3,548884989.53774,287.547454993172,216.030617112859,181.253598152226,257.110222459487,435.402416957476,542.398498282356,435.920016738419
"39",4,"Ganges",4,548884989.53774,217.674152750473,159.435310976963,133.561804731956,188.936904916771,328.114804906993,407.451925184146,327.47657868915
"40",5,"Ganges",5,548884989.53774,401.150294804318,297.658019501179,246.404469003916,352.882402701442,605.450338580819,752.914882616165,605.11364617408
"41",6,"Ganges",6,548884989.53774,326.057195710857,237.831866589127,198.009940495617,282.597080225778,490.691166360416,608.369658110221,488.959636191792
"42",7,"Ganges",7,548884989.53774,388.17226715364,286.479006535407,240.036737446116,340.59421342975,585.285213053157,725.91027319336,583.439675710518
"43",8,"Ganges",8,548884989.53774,531.479685624276,381.963026565404,318.32302387359,454.570260257421,794.410379744599,980.220702052037,787.81744087942
"44",9,"Ganges",9,548884989.53774,783.293472620742,570.891243003315,471.291485351014,683.294930873518,1170.95673032872,1444.02762327797,1160.61477234824
"45",10,"Ganges",10,548884989.53774,727.813935206451,548.604118953678,456.87776784262,656.034403135074,1092.48197551735,1352.19080838603,1086.87731687027
"46",11,"Ganges",11,548884989.53774,949.265293726103,724.013564932741,607.281464019024,863.483142070531,1429.7861306033,1770.87264901687,1423.42745337981
"47",12,"Ganges",12,548884989.53774,880.688208935306,688.443525557332,573.605107972466,822.065543999841,1334.61606886317,1654.42103865076,1329.94723753511
"48",13,"Ganges",13,548884989.53774,676.108198448481,551.255522643222,465.218315528897,645.251585713992,1040.39306830406,1303.37845018295,1047.41178572242
"49",14,"Ganges",14,548884989.53774,1194.96905396117,1000.64719298636,839.308744197422,1180.16682629552,1845.98946694619,2326.50870118831,1868.82480717459
"50",15,"Ganges",15,548884989.53774,1863.84865039797,1636.99739523938,1390.70446877842,1908.72922047951,2954.09592722362,3816.83234178577,3057.74020179239
"51",16,"Ganges",16,548884989.53774,1969.78515505416,1665.3031588896,1413.54745186316,1949.01260660453,3231.48879414595,4268.74262110656,3406.9214945711
"52",17,"Ganges",17,548884989.53774,1510.37835308861,1320.81277923255,1122.76886109767,1540.79566480976,2368.55707459323,3094.98729327908,2474.96035212563
"53",18,"Ganges",18,548884989.53774,1235.95107798577,1055.35628913055,893.791207430702,1248.72037194667,2042.07281645856,2699.16449298771,2154.02643474706
"54",19,"Ganges",19,548884989.53774,862.329366489318,755.078883559377,634.738197130687,889.383535258045,1354.12783964239,1768.60607984778,1414.49604178677
"55",20,"Ganges",20,548884989.53774,959.191879289361,833.688724461552,707.013573993319,976.488874544969,1539.12769834472,2022.75418606493,1616.00789172598
"56",21,"Ganges",21,548884989.53774,531.693329302683,473.780351713305,399.506482549495,558.624474944504,841.098227109602,1083.87303761469,868.711995299291
"57",22,"Ganges",22,548884989.53774,191.727206323433,165.758781857513,139.155469789941,194.867754679837,298.78863903754,381.10522220663,305.806692731764
"58",23,"Ganges",23,548884989.53774,250.507230650135,208.810685045946,174.081372382528,247.951290050368,383.520555300409,485.01902632905,389.532496722585
"59",24,"Ganges",24,548884989.53774,264.309312270762,212.969622836794,177.926197005494,252.571897871682,402.248954220967,505.95873657525,406.49110735275
"60",25,"Ganges",25,548884989.53774,379.962687834827,299.109445168034,251.261523520014,351.619477870486,577.787204560461,723.93786016437,581.731230242494
"61",26,"Ganges",26,548884989.53774,NA,NA,NA,NA,NA,NA,NA
"62",27,"Ganges",27,548884989.53774,NA,NA,NA,NA,NA,NA,NA
"63",1,"GaronneDownstream",1,10557442.835208,327.481993998749,339.40840645883,329.332549443579,349.677984092098,314.245527797322,377.863427568755,300.177891563583
"64",2,"GaronneDownstream",2,10557442.835208,550.40977736892,694.663420627815,579.462828091097,825.344613602567,468.512946471705,572.285814981745,456.608733556197
"65",3,"GaronneDownstream",3,10557442.835208,616.364328547163,862.366732602034,710.205537815866,1035.05963632947,559.503927196279,677.429052709732,539.390975192242
"66",4,"GaronneDownstream",4,10557442.835208,514.473670853763,675.869153917153,561.033660194705,805.865690186414,455.124610328481,552.800749160286,440.515820771215
"67",5,"GaronneDownstream",5,10557442.835208,879.901943426465,1237.75487171865,1031.24807806844,1475.07903892408,799.642518920899,968.253210346312,770.922729603975
"68",6,"GaronneDownstream",6,10557442.835208,681.455892087064,1028.41654694665,846.373893497451,1238.6846404376,642.743710358108,774.680613377671,615.920163243401
"69",7,"GaronneDownstream",7,10557442.835208,757.479052885653,1203.94127326904,998.220775439098,1440.9673545643,736.144984163451,883.745870395983,701.603485240244
"70",8,"GaronneDownstream",8,10557442.835208,1289.78756005071,1882.99035807668,1549.3821880557,2263.39948064515,1189.99839820802,1438.61243973493,1144.81066637264
"71",9,"GaronneDownstream",9,10557442.835208,1639.96396392849,2648.70195885367,2200.32341562337,3188.93766021463,1612.32292462025,1932.20905494502,1532.93659111981
"72",10,"GaronneDownstream",10,10557442.835208,2388.99739268788,3033.82408363187,2515.10109895224,3633.62290798861,1957.30274949373,2406.20896690548,1921.99952390598
"73",11,"GaronneDownstream",11,10557442.835208,2184.00504121907,3199.9630272045,2655.66204536427,3838.81889611377,2029.27723193711,2450.06926042072,1949.18358732689
"74",12,"GaronneDownstream",12,10557442.835208,1962.36406947773,3056.26282390736,2520.59729909464,3681.53433021728,1884.27533005613,2265.61870883023,1799.801631584
"75",13,"GaronneDownstream",13,10557442.835208,1613.72061387047,2205.31856656285,1818.98774102033,2656.21566160075,1446.86479283406,1754.80893414886,1397.79674936834
"76",14,"GaronneDownstream",14,10557442.835208,2094.80211461437,3521.31656732856,2920.72477885811,4210.7651949247,2105.39557811814,2515.57063887857,1992.95870286445
"77",15,"GaronneDownstream",15,10557442.835208,2196.83300381377,4093.42687051969,3361.65916326228,4908.87832075591,2322.47509243155,2752.60036181221,2170.56268521814
