"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Connecticut",1,85798546.6943284,3868.69046952314,4904.13915481501,4533.35508387853,5285.77351057851,3492.07999979562,3989.14076997149,4426.9551528217,2885.35418822831,5857.88440423701
"2","Connecticut",2,85798546.6943284,3665.50719576294,4855.16269325603,3415.94894837664,6782.26017005226,3244.33449980646,3700.22633951203,4105.44988187736,2605.68820701582,5494.4195704006
"3","Connecticut",3,85798546.6943284,2350.41599951086,3406.0491500902,2404.9708450489,4658.90833585121,2543.60814496061,2912.92032727097,3252.94367130105,2232.56838519324,4202.68151265409
"4","Connecticut",4,85798546.6943284,3620.62676077001,5541.53354627508,3873.21595908449,7644.35667892253,3751.12166376844,4265.08103834944,4772.11068706336,2957.7537996675,6447.27707720444
"5","Connecticut",5,85798546.6943284,4764.52644079801,6942.37887935198,4881.52170357424,9602.87470537385,5331.69993517122,6133.42097903284,6861.32438630136,4718.41034471337,8853.21395612133
"6","Connecticut",6,85798546.6943284,4650.34178741041,5851.4142009599,4111.49719341013,8106.95316747974,5254.35999635821,6067.94704159403,6764.2277632271,4952.80826391127,8455.62656198685
"7","Connecticut",7,85798546.6943284,5055.1154792067,4922.11575775807,3423.86713114091,6883.31187332071,5984.46180190196,7060.10945221083,7801.49490498393,6415.27022212973,9100.16689656008
"8","Connecticut",8,85798546.6943284,3038.8687303545,4252.58123304533,3006.23168695322,5881.48635030246,3521.17869662582,4089.56260289434,4548.25367705245,3478.37432582848,5549.14093004908
"9","Connecticut",9,85798546.6943284,2127.07420636388,2789.55790466466,1946.39895715345,3849.13960512006,2441.55350659434,2821.94134917296,3145.11204030639,2323.06502246784,3913.02008329009
"10","Connecticut",10,85798546.6943284,2177.79774829317,2967.53946585435,2087.61830945734,4060.12828367964,2455.53699298091,2832.41480969736,3157.42723059178,2305.50759967079,3953.0102417474
"11","Connecticut",11,85798546.6943284,1493.15948365881,1989.22622092004,1392.66962652456,2720.76169755704,1654.77527658581,1903.38976528276,2121.98735025594,1532.54272507631,2672.42314666345
"12","Connecticut",12,85798546.6943284,532.550872868289,723.142142865773,509.916082745484,1005.30290647474,605.523290455804,699.288683200018,779.484306828343,571.6037584927,973.615076915357
"13","Connecticut",13,85798546.6943284,723.110725932205,1010.36642622857,712.399575590521,1387.50676548997,785.552107539451,900.354299290558,1004.43178914469,705.328599219011,1283.35076908391
"14","Connecticut",14,85798546.6943284,841.974284855627,1160.84501296743,819.936892879316,1616.91281155168,925.051810670374,1064.15091492002,1185.94931243293,861.164560212999,1489.37887379132
"15","Connecticut",15,85798546.6943284,1411.93291812802,1712.14218369967,1203.71861556029,2349.58500670427,1345.18147589325,1547.80192221059,1717.40217924267,1218.84167244934,2182.87631349625
