"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Ganges",1,548884989.53774,126.578176135335,276.442330123156,261.552266544163,292.126137463173,201.545339642283,237.937528473872,263.083062153819,218.20392793429,305.131876179496
"2","Ganges",2,548884989.53774,159.682795989858,125.988419596187,105.641711398317,149.488793936481,253.575640824319,298.616256374205,330.490856525584,272.088963873483,385.212446479126
"3","Ganges",3,548884989.53774,211.804507064968,167.436599263854,139.916644501838,198.697326097699,336.283270909168,395.767894041443,438.113550881794,359.992814566231,511.312192719335
"4","Ganges",4,548884989.53774,158.921962369136,123.230287466278,103.465171720355,146.679404323132,251.274029855085,294.962290774314,326.833910202495,266.338131761976,383.519932377055
"5","Ganges",5,548884989.53774,298.362161282322,233.598168097853,194.586285008653,277.332858983288,472.143499444061,554.875592524882,614.560785171002,502.680719740871,719.393907280002
"6","Ganges",6,548884989.53774,241.437460822084,186.917260659263,155.850298878697,221.246429354819,381.213599120326,446.919069542137,495.441426650278,401.977181120314,583.020378623244
"7","Ganges",7,548884989.53774,288.561590415621,225.675582113093,187.975705484643,267.763432295409,456.552809573804,535.395361297965,593.471483402459,482.01347017915,697.910927764732
"8","Ganges",8,548884989.53774,396.692722727802,305.689750068264,251.421083967368,366.907165255137,623.378328067302,728.002328075404,808.16714640198,646.627687270946,959.531018194231
"9","Ganges",9,548884989.53774,586.742172410122,457.975569445033,379.477995451896,549.735655266724,923.005544318373,1077.41560154846,1196.2824212519,955.595999311298,1421.805759927
"10","Ganges",10,548884989.53774,545.46640287837,437.627818524266,365.160054554367,516.855164443153,861.148946988701,1008.1606410074,1118.26112455815,903.166301460407,1319.81138019823
"11","Ganges",11,548884989.53774,713.134262653484,576.693084964571,479.497280989945,689.509737190703,1129.61265294669,1323.16601518643,1467.39542005617,1187.48819942582,1729.6775551535
"12","Ganges",12,548884989.53774,661.143006865338,547.292275912209,457.381868928515,648.114011636223,1055.08257184797,1236.67450201212,1371.25186674452,1112.66235414725,1613.55839435608
"13","Ganges",13,548884989.53774,508.72641739268,432.711133599414,362.443503495604,512.903096016064,821.826933792814,971.627928821061,1073.74471069557,894.393072966817,1241.77940465011
"14","Ganges",14,548884989.53774,906.622211349688,781.590262588872,655.209251861524,924.499877113846,1466.65274658631,1742.6665163781,1921.75052757083,1620.90333001966,2203.57741182541
"15","Ganges",15,548884989.53774,1428.17100092951,1260.70194309844,1054.67107428215,1483.63315360213,2359.80331506802,2863.38309598212,3127.60678614429,2746.90800146175,3484.11275214809
"16","Ganges",16,548884989.53774,1523.61111935689,1270.77070856185,1073.34581622989,1493.09366605195,2588.33922244782,3201.42806651163,3463.16220192754,3118.04767971377,3786.46373462698
"17","Ganges",17,548884989.53774,1159.65019791512,1011.04249763226,856.84044094987,1193.72304377898,1891.30199077544,2317.32377322646,2518.9279605881,2242.54829911453,2777.76734879473
"18","Ganges",18,548884989.53774,951.942180180797,801.897947615635,674.495472378186,943.374768723125,1629.10209448104,2016.01551295295,2180.28558172067,1964.19001005332,2382.72724352753
"19","Ganges",19,548884989.53774,657.060044644868,574.477092037806,483.97795067471,675.345352719449,1075.20834391863,1316.83211146895,1431.77202017236,1274.11850748918,1579.41926810781
"20","Ganges",20,548884989.53774,733.09473524543,634.772632982367,535.000879969974,751.555652843751,1223.06536736737,1505.99233856685,1632.96979269792,1462.88051277982,1792.28447785891
"21","Ganges",21,548884989.53774,400.691516962015,361.286381248887,303.763473686399,425.632563189715,662.641742404544,802.211227365788,877.269375296521,767.816267040939,979.766206644686
"22","Ganges",22,548884989.53774,139.467602935716,123.150431070864,103.885364831952,144.55476972964,227.117683542898,272.581801382093,299.271446381185,257.938488829598,337.98198668438
"23","Ganges",23,548884989.53774,183.685874087205,158.156220338256,132.954242674884,186.532504864651,294.923817727171,351.419981747759,387.086453948784,328.735803300022,441.743921015304
"24","Ganges",24,548884989.53774,194.10260252375,162.301829614893,135.527136418176,192.113803779163,309.779176208634,367.469718408777,405.523804966623,340.705036274249,466.247383280056
"25","Ganges",25,548884989.53774,282.015697668684,231.975131227801,194.76677695066,274.435533391543,449.75762192081,531.81143025942,587.647552989994,489.582105724752,679.524999020848
"26","Ganges",26,548884989.53774,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Ganges",27,548884989.53774,NA,NA,NA,NA,NA,NA,NA,NA,NA
