"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","GaronneDownstream",1,10557442.835208,310.77927245003,291.781832176581,283.37798895703,300.467362849772,298.217912096568,358.591077547125,367.064010565132,253.318924006895,472.403009870396
"2","GaronneDownstream",2,10557442.835208,528.494911060833,666.939079985611,554.685954471986,806.053519240633,449.858847275619,549.499942271978,564.9335495417,431.963323406746,689.048028993398
"3","GaronneDownstream",3,10557442.835208,598.218059024031,835.826756614898,695.825051162314,1002.38459841929,543.031674355032,657.484987805382,674.565586920428,490.591403853284,845.710950243429
"4","GaronneDownstream",4,10557442.835208,495.41063917749,648.85657557095,538.46084884891,776.078993499982,438.260666933777,532.317566465199,546.590612559239,405.41974581427,678.106867834519
"5","GaronneDownstream",5,10557442.835208,862.60159483801,1212.39853595908,1009.17444440282,1445.73156450848,783.920205284893,949.215727606304,973.834852328271,708.345272687196,1220.81397104428
"6","GaronneDownstream",6,10557442.835208,665.909965943291,1004.28517662699,824.795292907981,1216.8817730868,628.080917994542,757.007969057732,775.533689340138,545.639900324517,988.811575846185
"7","GaronneDownstream",7,10557442.835208,743.099059684768,1176.57111379247,972.418110965374,1412.02016431764,722.169997229082,866.968826121041,886.882948447699,603.129273649443,1149.29646201605
"8","GaronneDownstream",8,10557442.835208,1273.76835970812,1856.65881834122,1526.6536058096,2231.8989228494,1175.21858226104,1420.74482990425,1456.81506273358,1047.53643333054,1837.20898091941
"9","GaronneDownstream",9,10557442.835208,1626.62502361425,2620.73374113952,2174.25195729994,3143.20985466224,1599.20880764462,1916.49308689606,1959.18667332313,1310.33865985861,2558.23918127124
"10","GaronneDownstream",10,10557442.835208,2367.75209869582,3003.58907453065,2479.89342866871,3609.76060522135,1939.89650515384,2384.81061081488,2454.55243042083,1931.7542834417,2943.23464700334
"11","GaronneDownstream",11,10557442.835208,2169.13309300633,3167.46776064099,2606.41582124162,3792.97838648687,2015.45890032473,2433.3855520634,2494.50163282349,1778.93668252775,3159.12000732863
"12","GaronneDownstream",12,10557442.835208,1948.78549686036,3025.15302590582,2504.9750739745,3626.19850868871,1871.23709224989,2249.9417665953,2303.07234129821,1588.70908053328,2964.61494153451
"13","GaronneDownstream",13,10557442.835208,1597.6832243798,2180.19864008093,1809.3453074624,2608.71130831626,1432.48564069114,1737.36938846991,1783.2196353809,1310.68327013436,2223.15372490107
"14","GaronneDownstream",14,10557442.835208,2082.71026840906,3493.04185824563,2881.7762239305,4189.36333494374,2093.24258316252,2501.0499865116,2553.18707492681,1652.5357040165,3381.8409468284
"15","GaronneDownstream",15,10557442.835208,2186.36875894126,4073.39345592387,3379.57255451539,4902.36738591067,2311.41237258198,2739.48881251732,2783.53819074336,1597.53822510991,3859.19602008418
"16","GaronneDownstream",16,10557442.835208,1650.53287209693,3309.51532179678,2757.2978011049,3942.83310095656,1779.0141659729,2100.24017816777,2127.98030141539,1121.56708621962,3030.61850306227
"17","GaronneDownstream",17,10557442.835208,1194.33604350322,2654.3809118679,2178.70124111195,3206.60165653597,1311.99837984428,1542.19683944452,1556.74451913949,718.305581919857,2295.11085492703
"18","GaronneDownstream",18,10557442.835208,919.484480884353,2017.52288528931,1666.5536354941,2436.9049106474,1017.76703838061,1194.97426036584,1204.90971932198,531.334603012467,1794.34207343649
"19","GaronneDownstream",19,10557442.835208,823.22487321654,1565.29790060679,1290.58163218604,1876.95392253072,877.071862852719,1037.81020231627,1053.353996839,585.486019450191,1475.94407882668
"20","GaronneDownstream",20,10557442.835208,691.40140350833,1520.46593657246,1258.05508556569,1841.41448615123,758.551573214899,892.397167242824,901.419106409105,428.050440781209,1319.95751893493
"21","GaronneDownstream",21,10557442.835208,629.910234647341,1147.21194878131,948.484339779248,1377.21271255442,661.275007464067,784.756215054449,798.031844787873,468.60922348649,1097.6685900902
"22","GaronneDownstream",22,10557442.835208,244.275004638812,420.219920863807,347.397969001985,503.250654294928,248.659466201289,296.610905474041,302.521725307252,191.732129814657,404.216406238409
"23","GaronneDownstream",23,10557442.835208,392.363129181556,614.210623264102,504.047875526028,740.701368971034,379.056492194088,455.314132306654,465.911965552119,318.648434553616,602.175318380087
"24","GaronneDownstream",24,10557442.835208,516.264425021414,698.633375007541,574.263063760953,839.446968253746,462.556076877987,560.97443547566,575.79272860073,423.165931729231,717.888208367126
"25","GaronneDownstream",25,10557442.835208,693.950448979132,1044.75442439008,862.766938287393,1257.00382247045,655.795641434528,790.123205610602,809.391286810024,567.965970597184,1033.31531725064
"26","GaronneDownstream",26,10557442.835208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","GaronneDownstream",27,10557442.835208,NA,NA,NA,NA,NA,NA,NA,NA,NA
