"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","GaronneUpstream",1,9124365.59665934,305.251382760215,278.28950242615,270.081247744694,286.743387933965,344.98468956765,407.701905431323,410.931564600453,203.293567572372,595.561048962547
"2","GaronneUpstream",2,9124365.59665934,548.783500308774,995.04222655279,856.058204210497,1143.10810604942,556.519960262785,665.24006266118,676.6858843296,425.827268565635,906.758192220848
"3","GaronneUpstream",3,9124365.59665934,584.040137838543,1239.20636102884,1065.30586658367,1437.05724914761,640.015186066204,758.689571681378,767.010367519984,414.937161504562,1083.88095481384
"4","GaronneUpstream",4,9124365.59665934,462.227296529668,967.2810157112,835.438992806731,1120.35448643717,503.352956128079,597.063759888534,603.956540045169,331.836710797954,849.370107044312
"5","GaronneUpstream",5,9124365.59665934,790.937136857012,1749.98035274852,1498.94174490029,2033.4004963245,881.762220204109,1043.42809026614,1053.12029721197,543.112559318542,1509.19762154374
"6","GaronneUpstream",6,9124365.59665934,682.074728162129,1481.83446465421,1271.93501291888,1721.8815183472,754.459898790114,893.501510923802,902.501112569824,476.166330735627,1284.92830170488
"7","GaronneUpstream",7,9124365.59665934,936.164449710677,1835.65493127593,1570.04065165176,2135.00353206207,990.110590857832,1177.97596009895,1194.50011243306,699.232874232664,1644.81091471386
"8","GaronneUpstream",8,9124365.59665934,1644.05877435686,2890.45682224363,2479.59664954305,3354.03379329974,1643.12814629459,1966.8110834251,2002.55015851924,1287.80208274682,2659.6953905389
"9","GaronneUpstream",9,9124365.59665934,2117.1864392092,4177.35186705567,3588.76001102607,4833.32102160954,2245.11631934687,2670.67791871847,2707.653942446,1577.93377180786,3734.24879180114
"10","GaronneUpstream",10,9124365.59665934,2923.54696910814,4269.03829758049,3650.54835939025,4962.15077557841,2731.4164409682,3312.06564759996,3392.61508850353,2465.6302989471,4254.91089403942
"11","GaronneUpstream",11,9124365.59665934,2905.55829451105,5132.76777303853,4397.17417664124,5938.37208430181,2909.54142352632,3482.02917561305,3544.86790726283,2273.95087517576,4713.03682571649
"12","GaronneUpstream",12,9124365.59665934,2623.13237177319,4825.8787782489,4148.07963389782,5609.53979331782,2685.83076947741,3206.3551622247,3259.25167486828,2020.32792165464,4393.56828716011
"13","GaronneUpstream",13,9124365.59665934,2066.89798061019,3517.41206298157,3030.41142436629,4077.57000798512,2028.36736089676,2433.04970818096,2480.18024731374,1635.849871793,3258.58845840085
"14","GaronneUpstream",14,9124365.59665934,2806.60024402565,5613.89965081509,4823.25662133112,6467.45823322748,2993.93410790808,3558.71239574946,3606.09485760489,2073.64920974249,4996.30971705703
"15","GaronneUpstream",15,9124365.59665934,2784.6288699451,6537.66847664573,5583.2381089842,7575.97753851454,3175.45439306628,3749.29891820384,3775.12846006931,1806.62873225055,5517.48991791143
"16","GaronneUpstream",16,9124365.59665934,2147.84363557007,5541.66123720222,4747.27989420027,6414.11466341132,2525.71484075284,2972.92950682159,2981.73199820433,1233.27311245686,4498.09122669442
"17","GaronneUpstream",17,9124365.59665934,1698.96746430957,4504.02896932949,3845.80371724537,5223.29693833041,2017.27713398688,2372.66422142806,2377.00319790878,936.134624457428,3618.064303087
"18","GaronneUpstream",18,9124365.59665934,1238.08428512886,3334.08354956784,2837.59796530652,3884.43250478357,1475.16832298976,1734.17886933139,1736.13059953283,661.14298267778,2657.71600367045
"19","GaronneUpstream",19,9124365.59665934,911.939511086237,2540.58050048767,2178.15871857648,2947.79634184053,1096.03467827438,1287.29956783912,1286.90839429881,455.310142576123,1992.61297358448
"20","GaronneUpstream",20,9124365.59665934,899.330507691143,2619.82436043952,2254.64729082383,3048.2467933662,1092.078215374,1281.18212340882,1278.32020685896,402.426842465986,2009.92769643103
"21","GaronneUpstream",21,9124365.59665934,623.164085563453,1809.78400847577,1560.11492948978,2088.18277149666,756.096185387301,887.085642507262,885.21743502846,281.035383203917,1390.44287918909
"22","GaronneUpstream",22,9124365.59665934,245.526492228177,638.278048237446,545.104028095975,741.312555830498,289.698784444925,340.901433684399,341.776904260665,139.045627633392,517.189938394981
"23","GaronneUpstream",23,9124365.59665934,461.521388535777,948.043680825551,813.005610275184,1097.79989967309,498.647884780985,591.927619541605,599.162036145224,334.985077460957,837.954896201288
"24","GaronneUpstream",24,9124365.59665934,504.348592086987,1042.46974113142,888.747835441598,1209.54431832559,546.052840739772,648.081129967287,655.891543966143,365.185229192196,918.523021872707
"25","GaronneUpstream",25,9124365.59665934,664.928042021496,1538.12435591077,1323.42893760296,1782.52133329795,754.420151242897,891.222110124105,897.886236904267,438.062186591325,1305.97405271001
"26","GaronneUpstream",26,9124365.59665934,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","GaronneUpstream",27,9124365.59665934,NA,NA,NA,NA,NA,NA,NA,NA,NA
