"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","IowaRiver",1,5396515.46431021,324.933225196799,482.135191086936,454.821798438356,509.876084858749,318.833108948315,360.631778617177,394.52134046004,110.583167753872,631.745561956821
"2","IowaRiver",2,5396515.46431021,464.495270216998,549.137910690889,452.697577207142,658.678415719401,444.795587563801,503.954800680242,552.630212666238,208.745646878987,851.687995503745
"3","IowaRiver",3,5396515.46431021,573.479377012013,663.164052881857,543.972332793869,804.134292155589,559.343132922127,633.127297069406,692.467963827341,202.677274092542,1104.02617569971
"4","IowaRiver",4,5396515.46431021,422.053012652197,456.136447851328,373.416252601595,548.093598579953,413.869494118151,468.005406308738,510.945134320844,105.423646481138,837.040595727509
"5","IowaRiver",5,5396515.46431021,718.909373312613,739.744924063482,607.909583924603,890.592568503174,711.874083315617,804.399475858972,875.721883281417,NA,1488.89829240817
"6","IowaRiver",6,5396515.46431021,828.858834016598,1042.99744834429,862.411436902812,1253.3414245529,773.040730837925,877.561573707383,964.725625325672,443.356247413992,1430.16324714882
"7","IowaRiver",7,5396515.46431021,1046.52813048214,1350.99327316117,1116.19186497058,1620.50000686366,1113.63429355823,1274.14001767789,1407.86813304573,880.333642218846,1895.77967076882
"8","IowaRiver",8,5396515.46431021,1564.35931324583,2020.19065981855,1670.5341706532,2431.30469379738,1662.72616870079,1902.33424445859,2101.94180912838,1313.39845237814,2831.21041669136
"9","IowaRiver",9,5396515.46431021,2321.44406422542,2896.6603855474,2385.26899616982,3489.09927703341,2142.00505308701,2432.29159559846,2676.45177220441,1279.87269370022,3929.61551419715
"10","IowaRiver",10,5396515.46431021,2100.28972602037,2697.50379109764,2233.79081082469,3222.00116141176,2257.44026004323,2582.64596432056,2853.99326846093,1785.73548463753,3842.07250037279
"11","IowaRiver",11,5396515.46431021,2774.7687333301,3591.93724823244,2967.03779952748,4332.77308867796,2953.12949879534,3378.69689811318,3733.26909155389,2333.32374897587,5028.010618277
"12","IowaRiver",12,5396515.46431021,2708.62418456268,3545.36962396156,2919.09639505913,4261.34040850372,2799.00812632203,3200.20969822484,3535.12555147083,2175.70348123915,4790.58514200348
"13","IowaRiver",13,5396515.46431021,1410.59220770829,2040.09408886631,1689.30468467282,2445.83295619146,2231.3891697415,2578.68033672992,2862.68549484049,2126.26298718018,3551.66466380096
"14","IowaRiver",14,5396515.46431021,2587.35898516135,3116.19238917067,2574.30152124524,3737.33239248929,3707.63111302726,4258.506417897,4719.40114423877,3240.92375790883,6097.03229434336
"15","IowaRiver",15,5396515.46431021,4007.1954813146,5248.91467121443,4349.80419302682,6289.07019812525,4119.1049962572,4709.59146927854,5202.13366084864,3198.9634789126,7051.96209129201
"16","IowaRiver",16,5396515.46431021,3569.78910312175,4762.2135304069,3949.98734654071,5716.0216558655,3470.06991629665,3964.33442717803,4376.61978085648,2629.59405757346,5986.26956122322
"17","IowaRiver",17,5396515.46431021,2655.79259619612,3383.80152140639,2786.23473251515,4074.86646583901,2460.09632244757,2794.02455645251,3073.03579829472,1459.45979908792,4519.62997816251
"18","IowaRiver",18,5396515.46431021,1520.5794113586,1660.86551084915,1361.99655126233,2010.47829800998,1493.57690253805,1689.08858792699,1844.35369929374,397.118007301744,3014.02933950331
"19","IowaRiver",19,5396515.46431021,1143.77338121162,1224.46890387354,1007.86204752446,1467.85236958266,1122.51044661486,1269.1982378748,1385.09336526455,257.878321121937,2280.91143314017
"20","IowaRiver",20,5396515.46431021,1293.22662621654,1461.45124569321,1194.82419041501,1767.5084006417,1251.19240995246,1416.27640938604,1550.63888429412,497.336398612503,2446.57606599461
"21","IowaRiver",21,5396515.46431021,798.792360505784,844.83934451352,700.037225081359,1022.41749722811,786.155701205688,888.731733800004,969.261719474852,144.215768724794,1609.64152621391
"22","IowaRiver",22,5396515.46431021,272.948206260574,271.023310036386,221.594004465107,327.36802145554,268.84499048885,303.776784767555,330.885606825622,NA,559.787707460042
"23","IowaRiver",23,5396515.46431021,391.281075131333,407.086792016827,335.92994025994,492.172181220996,385.684441737586,435.895086796952,474.956191502047,32.8846152445275,798.500489456246
"24","IowaRiver",24,5396515.46431021,532.147443717683,645.189857803408,527.422278137748,774.021624609061,506.89955907605,574.603059011105,630.486175606321,252.217661438296,962.008742879847
"25","IowaRiver",25,5396515.46431021,740.21112866391,843.530021457939,695.464641019621,1009.69232445346,718.64277583711,813.433315870357,890.215472094244,275.609561084767,1410.51870701388
"26","IowaRiver",26,5396515.46431021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","IowaRiver",27,5396515.46431021,NA,NA,NA,NA,NA,NA,NA,NA,NA
