"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Jamuna",1,1129169394.25648,205.664567562166,467.050510828232,449.949784398103,484.63740765468,389.697403880998,493.317868558957,510.031082024176,439.248275844521,576.316120841733
"2","Jamuna",2,1129169394.25648,262.552175355257,230.297127269748,168.529290054132,306.657573606994,493.108683615711,622.56759882489,643.803213040854,551.744554190387,730.011689190039
"3","Jamuna",3,1129169394.25648,347.878426762095,305.610154077903,223.592883525162,406.290301794661,653.45752952754,823.820182572216,852.000941894839,728.125007419715,968.003991202374
"4","Jamuna",4,1129169394.25648,263.832115808418,231.914779075231,168.08531945695,308.590420698006,494.612230204452,622.137843831614,643.53295441878,547.49488999358,733.465882545706
"5","Jamuna",5,1129169394.25648,478.609935817789,420.806869208994,309.894872629907,558.344130791309,895.796018699401,1124.9070791683,1163.71268547659,986.694275371517,1329.47514429469
"6","Jamuna",6,1129169394.25648,405.774101229722,363.5997302276,264.693129172569,489.860846397911,763.329536368863,960.963837283398,993.973667879982,847.135034622964,1131.47872866252
"7","Jamuna",7,1129169394.25648,480.498113441193,441.920109664808,324.750389392086,592.299613911895,905.051022816743,1139.2818256091,1178.46913557496,1004.28875324014,1341.57797916708
"8","Jamuna",8,1129169394.25648,802.347029970982,751.824500169819,548.688779336328,1007.21572876762,1555.78274001869,1989.75635432151,2055.3172895989,1800.62016304076,2293.82532363757
"9","Jamuna",9,1129169394.25648,1334.2088375167,1243.51433475039,924.889189512973,1638.90593080668,2620.34810742175,3386.69981663968,3493.80167896338,3105.80033934825,3857.13545635598
"10","Jamuna",10,1129169394.25648,1078.31600842931,1016.26300060242,752.849877437853,1345.29065238514,2103.19618188181,2689.4487475779,2778.29004885203,2433.69666006466,3100.98044826127
"11","Jamuna",11,1129169394.25648,1686.22300917049,1583.54283838936,1168.61208478944,2113.03904033213,3407.42909569327,4457.02839774707,4590.76379943047,4139.12468124084,5013.72511824833
"12","Jamuna",12,1129169394.25648,1502.24136180551,1433.21650483294,1054.1191985101,1904.80938221313,3001.58823698784,3896.60416789105,4018.65800076878,3593.45853269166,4416.83234577948
"13","Jamuna",13,1129169394.25648,1035.73896363787,992.76253067385,721.733363223256,1323.57713235381,2075.5843418961,2692.19536265663,2776.91075297972,2480.64313007822,3054.34668633669
"14","Jamuna",14,1129169394.25648,1885.97608876297,1762.07564094072,1295.58607174591,2347.13588383219,4343.90436046531,5761.37963224713,5922.39874680761,5413.46397995175,6399.16601005929
"15","Jamuna",15,1129169394.25648,2617.95371734554,2456.07176385649,1831.7701252163,3243.6599789305,6103.89856665872,8219.15363463246,8422.6733103385,7789.30690508188,9016.36568583071
"16","Jamuna",16,1129169394.25648,1973.74161001983,1833.09402037667,1353.49648887285,2439.94604918758,4554.46599798872,6049.95879248838,6217.20972817839,5690.38832703653,6710.75775908848
"17","Jamuna",17,1129169394.25648,1574.50325344618,1456.62874463435,1071.52450385169,1925.81539973213,3438.29508991283,4523.57680845382,4656.08176765606,4224.09425321295,5060.68072489897
"18","Jamuna",18,1129169394.25648,1157.46865107549,1083.51577978309,801.493279155218,1430.26600131894,2375.04784731015,3105.08094707034,3199.21364038834,2883.75979046497,3494.63648531699
