"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Kushiyara",1,77618506.7617518,79.4966952666218,160.949894559017,151.558940251959,170.689654871565,66.3050300554657,75.1501503367295,83.5252424928257,49.0426649094562,115.221910113573
"2","Kushiyara",2,77618506.7617518,92.2590739685794,141.238390836045,107.504767101557,183.767940754117,77.6530565184459,87.7372317827928,97.4678437355615,52.9775984410641,138.017975249086
"3","Kushiyara",3,77618506.7617518,117.039433144039,181.190038493297,137.851904846882,233.804247191658,99.2794811608982,111.993970101143,124.37413232996,64.398984061949,178.72499362407
"4","Kushiyara",4,77618506.7617518,81.9552534973827,133.423728203971,100.67373923603,171.930916924935,70.945933086488,79.8921167077132,88.7087956075529,43.4552904164326,129.43901191272
"5","Kushiyara",5,77618506.7617518,145.949201019699,242.250663731232,183.000939703361,312.839872672257,127.311814594943,143.25406912357,159.030661215931,75.4745711226877,233.933305825179
"6","Kushiyara",6,77618506.7617518,114.232323318382,186.648868440728,141.462856832042,240.876806565652,100.651834912015,113.153298039693,125.612655266585,57.724977359543,186.2173435378
"7","Kushiyara",7,77618506.7617518,145.293576980022,237.998981222999,181.435636241981,306.972374894861,126.34494102034,142.233654222054,157.936978818423,76.7472292302052,230.937298249218
"8","Kushiyara",8,77618506.7617518,268.270510652804,411.249815131849,313.11002383041,531.126855521277,228.500959208293,258.774611107387,287.660894204085,166.708281092974,398.688748897629
"9","Kushiyara",9,77618506.7617518,1045.54678239125,950.789811302296,726.558268707469,1216.9561037131,996.635748591912,1169.74858812934,1295.2261692572,1050.67433848249,1524.37878714535
"10","Kushiyara",10,77618506.7617518,559.240579718378,638.081734406961,481.276992657293,830.877798719461,522.676246623346,601.638721023286,668.966260616271,486.079868537696,839.912096951649
"11","Kushiyara",11,77618506.7617518,801.918946542477,870.377528317482,662.828427701406,1120.64724562626,767.001439115433,886.410260105205,985.044867207233,737.749728317848,1216.47032333563
"12","Kushiyara",12,77618506.7617518,757.931374036119,883.810607393728,668.329079807936,1142.68933940679,705.943330967408,814.537193986868,905.060166279201,668.350020024239,1126.47200449452
"13","Kushiyara",13,77618506.7617518,479.706196935927,614.524598923564,462.637059955325,795.304026203894,419.729999569976,481.501011962306,535.218482494317,374.899409892794,684.786373899794
"14","Kushiyara",14,77618506.7617518,1312.13591178831,1218.64203772788,922.352307322152,1572.04867205149,1266.39357176152,1484.45808193883,1644.38626254275,1327.59606469862,1941.22816455913
"15","Kushiyara",15,77618506.7617518,1789.36816986394,1710.00264253868,1312.78396935574,2193.83268468648,1646.78292304969,1937.73699948457,2143.94853796541,1755.43343439016,2507.99067396014
"16","Kushiyara",16,77618506.7617518,1500.48899125084,1400.30135966105,1055.82192409251,1815.17477539854,1374.12537696637,1615.70411496174,1788.42027247454,1461.97895726221,2094.30034497781
"17","Kushiyara",17,77618506.7617518,1031.50003315734,1016.43738190257,772.855075473827,1314.13875771173,981.522814910106,1145.71118963163,1270.36093090221,1006.22079738388,1517.84529573829
"18","Kushiyara",18,77618506.7617518,773.292597101846,806.595740348776,611.560579900579,1048.56674623997,698.651862698493,813.975995140819,902.721412893432,707.3604374001,1085.74210487717
"19","Kushiyara",19,77618506.7617518,628.329696100553,603.952771419695,463.362055106297,772.684405064401,622.76047277917,730.02723601755,808.375287723657,651.399910120955,955.465031688599
"20","Kushiyara",20,77618506.7617518,614.823293259756,617.228163435485,469.156822507154,794.846241933304,584.754882326366,682.701796977649,756.738503856609,598.934071322682,904.591464972197
"21","Kushiyara",21,77618506.7617518,359.459210866674,386.292453735086,287.028229010352,502.319735491819,338.783389787037,392.890219655964,436.182113334107,333.341318858512,532.48124870088
"22","Kushiyara",22,77618506.7617518,117.992235815439,127.392137876876,97.3369138455784,163.562676240481,110.089320750756,127.673284053637,141.812839449662,108.768543546726,172.757537300931
"23","Kushiyara",23,77618506.7617518,124.338894010099,162.058967176606,123.400884663623,208.996420487497,107.512988846167,122.810441421798,136.572529598846,91.459432297174,178.534840628769
"24","Kushiyara",24,77618506.7617518,127.955360715628,174.733440768074,132.244067134118,226.792301362225,108.220150303994,123.170932288556,136.941115527374,86.8889512314755,183.294557443881
"25","Kushiyara",25,77618506.7617518,184.948813212802,266.370005665865,203.253533805085,342.103335707235,154.815040403612,175.873368185874,195.512283262272,120.147296763973,265.103742461718
"26","Kushiyara",26,77618506.7617518,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Kushiyara",27,77618506.7617518,NA,NA,NA,NA,NA,NA,NA,NA,NA
