"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","MississippiDownstream",1,243904327.066729,407.737788827119,383.089571817055,366.787093559244,400.613760037727,481.315597237024,627.590923367687,646.684532850855,581.013289671207,708.183716942942
"2","MississippiDownstream",2,243904327.066729,503.830935583183,1029.60745725313,764.924964511806,1354.06501455531,535.761682354013,689.099992658613,711.381838878363,628.394553406629,789.09311187636
"3","MississippiDownstream",3,243904327.066729,712.559767532359,1172.71862358225,887.943334892035,1527.07906918383,848.361380119093,1107.05429157604,1140.59710884992,1025.65616922426,1248.23672507381
"4","MississippiDownstream",4,243904327.066729,529.128446931535,1022.85644786365,766.775807520697,1340.86060361857,571.733409039222,737.389060099941,761.013935071505,674.786971533764,841.758848660907
"5","MississippiDownstream",5,243904327.066729,896.452708510105,1973.1201090992,1453.34638461015,2598.98301022832,937.706214755269,1198.98163706061,1238.61628715605,1084.87185761142,1382.58847196091
"6","MississippiDownstream",6,243904327.066729,848.293084465445,1429.13837112015,1068.44544920686,1872.64359464116,991.837526398346,1292.10795178244,1331.60314509737,1195.18501821196,1459.35361339196
"7","MississippiDownstream",7,243904327.066729,1012.94610115363,1848.12539740061,1389.39323762453,2411.82064234598,1126.56164249881,1460.12351383868,1505.8283629964,1343.42988332303,1657.90365565109
"8","MississippiDownstream",8,243904327.066729,1381.16338974458,2943.84365597616,2184.65185068591,3886.15143171425,1457.74992317619,1868.22614282389,1929.53478839093,1695.89333390474,2148.32410209786
"9","MississippiDownstream",9,243904327.066729,2067.12357581423,4496.94184795448,3298.76210375291,5953.29957788829,2164.41178073471,2769.06750922878,2860.45480384883,2507.5955870771,3190.88506568467
"10","MississippiDownstream",10,243904327.066729,2033.3982413035,3924.40983550648,2929.82981228523,5152.25128476139,2201.92605916073,2842.43696711521,2933.05316276156,2603.5942411059,3241.56645162968
"11","MississippiDownstream",11,243904327.066729,2560.71794913,5172.48070661335,3857.89577122576,6882.77093097642,2726.77141142384,3506.67447687789,3620.33302917658,3197.65301553915,4016.14109329124
"12","MississippiDownstream",12,243904327.066729,2031.7112709363,5108.0983730838,3723.04252068092,6770.54072770696,2140.02020392218,2709.12742129894,2801.35913881725,2413.44862198537,3164.62000280176
