"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","MississippiUpstream",1,126296588.499614,868.059635870292,853.123759463247,814.955198130976,893.731086915803,896.137463948132,1120.59392138773,1158.8970869335,972.349112359394,1333.56802201281
"2","MississippiUpstream",2,126296588.499614,1049.66142122818,2041.56670450328,1672.67515219795,2480.25780356325,1113.30311059814,1382.65259846426,1429.86753136068,1178.81748380929,1664.87345773764
"3","MississippiUpstream",3,126296588.499614,1454.86488050699,2613.29580532708,2114.70618395896,3172.6672278901,1518.60225177847,1894.08729113344,1958.99698920087,1633.65824973164,2263.60057646589
"4","MississippiUpstream",4,126296588.499614,1125.35425851878,2138.0115613356,1739.81128430199,2605.10636130224,1155.75869215727,1447.31838580971,1496.54592751822,1259.45511608004,1718.54832461305
"5","MississippiUpstream",5,126296588.499614,2055.89129746685,4014.82981325403,3240.13352913842,4906.85630525535,2152.72249016691,2682.68572433491,2774.06278823507,2307.13665301357,3211.21319390411
"6","MississippiUpstream",6,126296588.499614,1800.83495670718,3219.45997282877,2607.18961610051,3909.11548286018,1863.01087863928,2328.29571546825,2407.8839243275,2017.47153792123,2773.4341611468
"7","MississippiUpstream",7,126296588.499614,2493.80481669601,3993.08884167036,3244.69407708679,4855.38841004161,2486.73619522188,3171.31285141856,3275.28235143867,2854.39141601606,3669.42450115075
"8","MississippiUpstream",8,126296588.499614,3316.07401276429,6104.1673618573,4972.39845812662,7420.81965784301,3350.56103971589,4214.41037269819,4356.9079791578,3702.08146206436,4970.1023179675
"9","MississippiUpstream",9,126296588.499614,5332.08023070752,9247.75145568472,7508.00330457346,11257.7691277381,5308.14166716643,6724.98433908603,6949.45263522386,5988.70915278535,7849.14638202444
"10","MississippiUpstream",10,126296588.499614,4976.14562092973,8393.84774244959,6844.11253497676,10265.0264429948,4896.81654389093,6224.82768132591,6430.64011678664,5574.25346924389,7232.60668943792
"11","MississippiUpstream",11,126296588.499614,6145.97586258725,10800.1142551877,8805.52736813077,13157.7828051703,6126.14940045819,7753.66866277191,8012.95300280263,6892.59741962014,9062.1168443669
"12","MississippiUpstream",12,126296588.499614,5786.70084794239,10891.6603237161,8966.52804579115,13105.6421253394,5919.64596393965,7423.15117247289,7674.34078455441,6476.7443373841,8795.75077899792
