"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","MissouriMidsection",1,13050299.2109974,307.77857120303,249.316140477363,243.31412677416,255.541020669314,297.791842320353,361.536072731783,371.617822819815,276.397964400512,460.342466524412
"2","MissouriMidsection",2,13050299.2109974,439.082906266191,498.632510646974,357.864390675571,686.8382944157,411.086084542497,501.862080762477,516.503586805263,395.74901248417,629.22899787694
"3","MissouriMidsection",3,13050299.2109974,569.190535748887,650.029213736854,456.420861787825,890.547153306121,541.87744266952,660.0953662467,679.047128429829,514.604804034843,832.457564355616
"4","MissouriMidsection",4,13050299.2109974,398.350018136661,466.913858000557,328.88106334085,649.826959566592,388.310172874011,470.333617153242,483.112051418449,354.111277795371,603.188279311487
"5","MissouriMidsection",5,13050299.2109974,699.469636277482,827.315573212267,574.110959135144,1157.69819759543,690.471669570987,834.623551519878,856.786697720485,619.598803156938,1077.33781093516
"6","MissouriMidsection",6,13050299.2109974,588.6850160894,693.921558551013,480.705820121323,959.207976951249,580.693837766445,701.972118942126,720.631472800892,521.383268862928,905.910982263335
"7","MissouriMidsection",7,13050299.2109974,746.56369149376,873.90805420921,616.975804362305,1221.43761296227,726.358695686396,880.169636620361,904.195356525776,664.588823536037,1127.27067040995
"8","MissouriMidsection",8,13050299.2109974,1047.01649319281,1237.49276688519,882.165544361189,1713.08909829041,1038.11299481049,1254.29835035825,1287.39309042691,928.042934012688,1621.45330472839
"9","MissouriMidsection",9,13050299.2109974,1623.56863442024,1918.17569787887,1337.13080550124,2663.08594629661,1600.09866354272,1934.80037539519,1986.30384183498,1439.41681472883,2494.91434661285
"10","MissouriMidsection",10,13050299.2109974,1283.83808512344,1549.97729051477,1078.22300615209,2160.75096949738,1321.03850069007,1589.01054129456,1628.47348682241,1134.45372749732,2086.38131679423
"11","MissouriMidsection",11,13050299.2109974,1836.2107599094,2184.78856706557,1511.99932830299,3058.21995514057,1830.39235421821,2210.20353858555,2268.05850539652,1627.7597192941,2863.08224866267
"12","MissouriMidsection",12,13050299.2109974,2125.48083513488,2432.46233171418,1717.99803298618,3309.7526533092,2024.40754731295,2466.70611252247,2537.49778742157,1925.05429513394,3108.89100963926
"13","MissouriMidsection",13,13050299.2109974,1459.17774860276,1677.48717242461,1179.38082266589,2344.31316854196,1390.96773860003,1694.23664044722,1742.82246184501,1319.94901639663,2137.31186664257
"14","MissouriMidsection",14,13050299.2109974,2410.30010422498,2784.44485579499,1951.22674036633,3805.16197956413,2327.31767721986,2827.55602831417,2906.94664681867,2171.28886215373,3592.61940510377
"15","MissouriMidsection",15,13050299.2109974,3295.31107139387,3744.57645053293,2650.88359644333,5079.29677526435,3055.24452455804,3734.87999678961,3844.53087470536,2963.68078042467,4667.08358150845
"16","MissouriMidsection",16,13050299.2109974,2826.61511788575,3198.01668652783,2257.27648607565,4369.98833347249,2594.35801331286,3174.17803896255,3268.12935354973,2530.08325142519,3957.48127636307
"17","MissouriMidsection",17,13050299.2109974,2147.44021329471,2422.02626680338,1705.64047396735,3313.93255385191,1985.43223065097,2424.12930632312,2495.50002709876,1914.98492770635,3037.46163813655
"18","MissouriMidsection",18,13050299.2109974,1711.96092090922,1938.61449799732,1387.69821625403,2653.97468896041,1582.05719600451,1934.6407048034,1991.55924592867,1537.67902702606,2415.43530706538
"19","MissouriMidsection",19,13050299.2109974,1324.7426728453,1322.90051403002,960.285090205021,1800.12527083691,1436.23398209732,1791.87628415985,1847.85195704864,1530.54296631635,2144.90719051296
"20","MissouriMidsection",20,13050299.2109974,1538.35403721259,1715.51117434675,1224.20871996762,2321.14463508302,1337.06421503849,1646.51592101361,1696.56605723381,1348.32273009452,2022.21294833042
"21","MissouriMidsection",21,13050299.2109974,863.659669861266,986.222804153469,712.762939068209,1338.86511894998,820.746829632721,1000.0087163708,1028.76526376604,780.465790334159,1260.42205731545
"22","MissouriMidsection",22,13050299.2109974,317.416245534143,361.54647779822,253.160949556562,490.965851490078,296.242137417353,361.789595645004,372.366804918981,285.802884102595,453.182697455102
"23","MissouriMidsection",23,13050299.2109974,424.064260568081,486.893037938938,342.340020988347,666.626690650379,405.825626140052,493.864951467434,507.934616293188,382.89086207632,624.551406119272
"24","MissouriMidsection",24,13050299.2109974,465.909973687121,534.466470317313,381.055033581562,725.391780674857,445.943895950507,542.682098521168,558.139642254022,420.712112066844,686.305175524683
"25","MissouriMidsection",25,13050299.2109974,725.750345251627,830.066431252299,588.043731070048,1141.54001839975,689.199737610561,839.81549046987,863.980426320319,655.786015532269,1058.22617732118
"26","MissouriMidsection",26,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","MissouriMidsection",27,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MissouriMidsection",28,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","MissouriMidsection",29,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","MissouriMidsection",30,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","MissouriMidsection",31,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MissouriMidsection",32,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MissouriMidsection",33,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","MissouriMidsection",34,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","MissouriMidsection",35,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MissouriMidsection",36,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MissouriMidsection",37,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","MissouriMidsection",38,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MissouriMidsection",39,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MissouriMidsection",40,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","MissouriMidsection",41,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","MissouriMidsection",42,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","MissouriMidsection",43,13050299.2109974,NA,NA,NA,NA,NA,NA,NA,NA,NA
