"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","MissouriUpstream",1,21490004.3972575,227.778213342537,248.070919306407,236.552833189158,259.945451805414,234.176300095302,270.750534152948,299.90616904891,219.373013687553,375.205463955897
"2","MissouriUpstream",2,21490004.3972575,271.627861788054,338.221702582327,244.36943050218,456.490950225399,264.589479565758,306.974648197046,340.18850293814,257.248894770757,417.830520599589
"3","MissouriUpstream",3,21490004.3972575,419.992397182941,540.620995382365,396.388848008206,717.236377170181,424.020779150728,491.532866561842,544.289407975067,406.219294552926,673.486781988955
"4","MissouriUpstream",4,21490004.3972575,295.924575121736,394.794983047607,284.527997713052,535.111519083355,306.053568860581,353.300375462615,391.395971851545,282.463878976356,493.186223712541
"5","MissouriUpstream",5,21490004.3972575,523.749220661629,706.686442965171,513.684907144047,953.36228553954,546.703410327833,630.263978030869,698.288353392947,497.82772084725,885.491125965444
"6","MissouriUpstream",6,21490004.3972575,441.573261754175,596.408447700057,426.142070739698,811.336499483467,460.572804242701,531.023335575935,588.336209264831,419.87268980682,745.666571921319
"7","MissouriUpstream",7,21490004.3972575,551.995794653908,734.76064438175,530.258135473445,997.168614426665,570.238604894329,658.431898819427,729.419620433788,527.598072484546,918.029532251337
"8","MissouriUpstream",8,21490004.3972575,779.214585728684,1058.3085474776,767.327693200194,1427.093435777,815.274495809203,939.309278456999,1040.67783198291,737.194479563972,1323.99208956425
"9","MissouriUpstream",9,21490004.3972575,1201.03113572264,1621.81084134764,1172.29231209145,2180.59502681134,1254.90268225792,1446.46366605996,1602.54953475541,1140.31520097568,2034.16929488492
"10","MissouriUpstream",10,21490004.3972575,977.610967585267,1378.35179522413,972.12607237655,1861.77580926195,1038.6752076603,1193.31825402951,1322.06060140501,907.432103131663,1708.39467493868
"11","MissouriUpstream",11,21490004.3972575,1370.52331118392,1874.67254055571,1345.67771202938,2548.1792523705,1434.53055754885,1651.96172412007,1830.19530847933,1289.43444385985,2334.86405062583
"12","MissouriUpstream",12,21490004.3972575,1537.40776401735,1989.11100431068,1452.91808085829,2670.48717934716,1560.89696840647,1808.46279020682,2002.6472509895,1488.47235539523,2483.70950871146
"13","MissouriUpstream",13,21490004.3972575,1072.42609313793,1384.85754439149,1003.83460382805,1870.72984433212,1085.50489524176,1258.04840068587,1393.11448035976,1037.96318968581,1725.42321002083
"14","MissouriUpstream",14,21490004.3972575,1775.07399151405,2318.29968184803,1682.74288833217,3152.64613813058,1822.26683954908,2107.90226339054,2334.78585095215,1714.69582890324,2914.67376711987
"15","MissouriUpstream",15,21490004.3972575,2368.95740250461,3017.11336855921,2206.68755107449,4088.57583867197,2331.93809784378,2709.66337385411,2999.53723683755,2276.02553314714,3676.90199384974
"16","MissouriUpstream",16,21490004.3972575,1709.72144164888,2120.07713237396,1551.84787030562,2848.3513439126,1631.61448133347,1895.99417230954,2100.66601734658,1605.22375133301,2564.59248842777
"17","MissouriUpstream",17,21490004.3972575,1183.99996804626,1429.28019150208,1039.0066039537,1899.90332845183,1118.90684931025,1298.54370300977,1440.05022421695,1097.4373519063,1760.84716746452
