"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","OhioSection5",1,630113662.361392,277.215548911029,149.948839295627,144.082145234084,155.976990695145,254.30196859282,322.226713477952,332.984558008406,287.037176627067,376.012273481701
"2","OhioSection5",2,630113662.361392,317.007846722898,378.425178832956,294.278116738103,481.604153275334,298.393934262889,375.903686092683,388.657655537066,331.429342738549,442.248473362524
"3","OhioSection5",3,630113662.361392,662.259584694872,748.569284227493,591.360807310716,948.170455643606,586.771632155292,753.101878614082,777.005950814476,683.401343856036,864.660218809088
"4","OhioSection5",4,630113662.361392,192.839068441438,228.64527161029,176.123966949153,292.824613067596,188.584291035062,233.717259848064,242.041460087925,199.172802968946,282.169021585542
"5","OhioSection5",5,630113662.361392,518.233709856507,619.104764753689,473.712737641415,795.728250608032,494.564215449144,619.809332188806,641.20016424187,541.213328390951,734.826328779779
"6","OhioSection5",6,630113662.361392,620.372239291622,721.469297933087,561.697256774597,907.024788644656,565.145993338742,717.815132662599,741.565466826946,641.836210474056,834.957517994074
"7","OhioSection5",7,630113662.361392,519.259013173864,621.082204161716,478.804130166151,786.173625117444,495.598561480963,621.064797274469,642.505798439492,542.245360486769,736.388041157019
"8","OhioSection5",8,630113662.361392,497.719556191946,588.683372860757,449.651352429926,751.002071088491,488.540161603959,604.422329770355,626.041994785516,512.915862822761,731.924775359765
"9","OhioSection5",9,630113662.361392,398.211646938475,459.849077702285,352.020785290017,592.440475549003,396.699845014857,483.186140353529,501.083213273762,391.915321020378,603.099062101274
"10","OhioSection5",10,630113662.361392,1559.69281500188,1809.86790196242,1401.63690126297,2281.92771533571,1418.60164155515,1803.28265905074,1862.72921751539,1614.30877245236,2095.36353693698
"11","OhioSection5",11,630113662.361392,856.186729145167,1019.36179948293,785.307280873177,1310.24123563178,842.447764741832,1041.18010313121,1078.50343909372,881.163735229166,1263.19588689478
"12","OhioSection5",12,630113662.361392,698.841042882866,810.366839109164,619.129661173636,1046.31846814388,687.451599605761,846.13602476963,876.840710993326,708.618296862296,1034.23639873882
"13","OhioSection5",13,630113662.361392,260.923185231366,273.815199934217,208.742091424692,349.987511756608,264.421035987659,316.699686486341,328.636815986252,239.622820602209,411.459866860502
"14","OhioSection5",14,630113662.361392,500.101414865755,604.774766757904,463.237466510665,776.844505650844,509.246322615025,603.468725078774,626.229576490571,429.624620456748,808.202932467055
"15","OhioSection5",15,630113662.361392,485.292367872514,537.397434957541,409.148621548999,691.549727304748,488.693441624359,586.128187653865,608.259451807277,446.775895731956,758.594404012201
"16","OhioSection5",16,630113662.361392,1141.02944923943,1359.48467705114,1042.83984578445,1744.90863977951,1117.62419668588,1384.90053045979,1434.22664019702,1179.73418467472,1672.44432941018
