"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019"
"1","SacramentoUpstream",1,11462433.9874935,261.352206533655,334.960581783218,324.282953538757,345.747522002085,270.384271631166,320.724666106653,253.282482846606
"2","SacramentoUpstream",2,11462433.9874935,297.697197291914,527.46845871368,404.293930926072,693.971031669283,315.207629186073,371.691453799546,292.350976284954
"3","SacramentoUpstream",3,11462433.9874935,406.147338414289,706.34751163922,535.030040521945,932.201558705192,428.019686377805,505.368906148062,397.871886703175
"4","SacramentoUpstream",4,11462433.9874935,316.666299355522,553.471921743975,418.93250094685,724.618797362082,333.876863516482,394.111417390872,310.219937684529
"5","SacramentoUpstream",5,11462433.9874935,722.152785002699,990.941929224103,758.666507321568,1278.55049819903,751.537706187221,901.514474993518,716.380747948996
"6","SacramentoUpstream",6,11462433.9874935,533.936062611836,859.214323417299,654.159579003883,1126.37687566537,552.474346374711,655.385098143918,517.609493342134
"7","SacramentoUpstream",7,11462433.9874935,614.635755238452,1014.66981567757,775.669383160354,1323.21582746346,640.841792016114,758.829013445545,598.587219411671
"8","SacramentoUpstream",8,11462433.9874935,895.724544450934,1502.25409643336,1137.02458072823,1982.92240251417,936.505441288074,1107.92681088127,873.42935541326
"9","SacramentoUpstream",9,11462433.9874935,1345.94255788095,2278.67019075395,1728.55093670998,3007.46081122505,1410.06049447962,1667.49806305932,1314.23190411869
"10","SacramentoUpstream",10,11462433.9874935,1465.73535082009,2093.17413267599,1619.51906858096,2661.04389918029,1491.05660477678,1784.05492086167,1415.61968676724
"11","SacramentoUpstream",11,11462433.9874935,1642.55287540028,2674.2798017997,2027.94201184601,3495.41813804199,1706.69084204679,2022.93624194663,1596.81827359193
"12","SacramentoUpstream",12,11462433.9874935,1558.44228151318,2573.45474273304,1942.76375367638,3347.11584503878,1623.82483596969,1923.19547976262,1517.27987587313
"13","SacramentoUpstream",13,11462433.9874935,1113.53710440943,1803.59543189151,1369.37366973448,2333.49430724227,1155.47178942377,1370.02075412641,1081.66870692076
"14","SacramentoUpstream",14,11462433.9874935,1976.13492863003,3148.29422603361,2408.15913497744,4119.74651563885,2036.32658920261,2417.70785651892,1910.34386323479
"15","SacramentoUpstream",15,11462433.9874935,2425.96895246641,3811.87347067369,2920.95565531793,4998.35983007276,2503.78684017747,2975.22003824713,2352.0988416246
"16","SacramentoUpstream",16,11462433.9874935,2108.5055272243,3281.39145225517,2509.39526137317,4241.20895601442,2168.02123152284,2577.82037110542,2038.62223275514
"17","SacramentoUpstream",17,11462433.9874935,1675.96626854698,2655.46682921895,2013.11223542499,3453.00799537692,1728.36315035485,2052.21535929407,1621.6976244371
"18","SacramentoUpstream",18,11462433.9874935,1223.49094727724,1969.01057749286,1504.81291246649,2558.76151261404,1266.33943344074,1502.17171371449,1186.33947452051
"19","SacramentoUpstream",19,11462433.9874935,900.902818008182,1488.39040770697,1136.9793429265,1937.80591422961,939.068170690714,1112.02201255514,877.228828508039
"20","SacramentoUpstream",20,11462433.9874935,902.105459959489,1525.32446429769,1166.64785436026,1986.90871877121,945.828399118519,1118.46341637122,881.468660285617
"21","SacramentoUpstream",21,11462433.9874935,606.924985595062,1054.33330643356,798.518659367611,1382.17292671689,639.323203026049,754.852438728113,594.283628653333
"22","SacramentoUpstream",22,11462433.9874935,226.679458336733,386.781848669499,291.118490040519,506.969452137703,237.709161404979,280.971913412382,221.375631173961
