"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Seine",1,160605943.612562,2569.83478478853,2362.74472389958,2294.94315590269,2432.16840748229,2228.6750513582,2604.65511928707,2665.72149471705,1395.23363130582,3804.1550051265
"2","Seine",2,160605943.612562,2172.51600473101,3363.89272583462,2897.54274943503,3900.10886706245,1886.80938352571,2203.16961998125,2254.22029510993,1161.08635705091,3231.6145881458
"3","Seine",3,160605943.612562,1869.57046501722,2581.14641266933,2212.33557175534,2968.83064989588,1611.33080876144,1888.68338298191,1934.42270213623,1064.49671646732,2719.1327878665
"4","Seine",4,160605943.612562,1302.53374389962,2061.3235839316,1762.22653622194,2395.79907468238,1133.2024499426,1322.71773969815,1353.15454642201,691.71782296545,1943.95187630081
"5","Seine",5,160605943.612562,985.669674836786,1431.84186824612,1229.26338636842,1650.70664088498,858.131943595992,1001.1807668708,1024.09744141251,518.720345416722,1474.93845648185
"6","Seine",6,160605943.612562,1005.13937352941,1875.39613034311,1609.70928787034,2173.07844564344,875.755892040057,1021.11111975069,1044.35251272227,522.086694403797,1509.42867213868
"7","Seine",7,160605943.612562,718.945843950146,1189.13150118941,1017.2697924606,1376.36265100039,623.341839321877,728.501332993395,745.592729073968,390.10563393892,1064.11608587184
"8","Seine",8,160605943.612562,260.047295026421,469.350159617402,403.482394179227,544.52710971415,225.012247447193,263.394852109421,269.680371403706,145.171578825653,381.667144791612
"9","Seine",9,160605943.612562,386.314308818509,594.0649518952,510.574431482609,688.295688134853,331.467635450638,389.251143759707,398.935873799762,225.559925500196,555.878227809695
"10","Seine",10,160605943.612562,423.652361108142,827.475981817605,708.510178476435,966.001528578374,361.372921865467,424.423749359307,435.22071164498,244.168171010776,607.987016223715
"11","Seine",11,160605943.612562,816.608637390174,1061.24157053126,913.141364524193,1224.00913767773,669.674827000757,801.624653380286,824.437089088428,568.596708685952,1061.34389919405
"12","Seine",12,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Seine",13,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Seine",14,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Seine",15,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Seine",16,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Seine",17,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Seine",18,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Seine",19,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Seine",20,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Seine",21,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Seine",22,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Seine",23,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Seine",24,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Seine",25,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Seine",26,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Seine",27,160605943.612562,NA,NA,NA,NA,NA,NA,NA,NA,NA
