"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","SeineDownstream",1,186319228.496485,215.500591452236,272.590913722787,257.060504181785,288.961480808623,214.143309850565,241.035094208649,269.36157214476,153.573803658497,375.462208871349
"2","SeineDownstream",2,186319228.496485,265.466851389045,458.73498805717,356.905332496091,580.81473832306,266.919527807382,299.857833875857,335.177325368039,184.083222648929,473.054467153594
"3","SeineDownstream",3,186319228.496485,352.496916918739,602.303593104963,471.237524051048,760.652770460328,355.302974336478,398.987723016111,446.002643470876,242.90349978741,631.157588606565
"4","SeineDownstream",4,186319228.496485,278.988806596481,485.166968587906,376.478558796077,607.881053009634,279.998156960348,314.644911790046,351.694209404396,194.341074870494,495.382858669822
"5","SeineDownstream",5,186319228.496485,489.266098946977,817.465741977112,639.802039346739,1017.64914080574,496.412558501397,556.854625466426,622.539564481918,331.234389283794,887.386448333565
"6","SeineDownstream",6,186319228.496485,476.01424362832,895.890124031013,698.350218344479,1128.5368113822,466.966771560996,526.749241308966,588.471470658017,348.168491374773,809.533891439908
"7","SeineDownstream",7,186319228.496485,542.349249767589,985.199725692462,770.148698439936,1236.44044689089,538.507987196075,606.216825131646,677.445311362237,387.191732281078,943.486628109112
"8","SeineDownstream",8,186319228.496485,883.008420868584,1721.45871861759,1337.42782067827,2184.00644398803,858.757115345614,970.140439062673,1083.56090174266,655.913190871322,1477.87213520784
"9","SeineDownstream",9,186319228.496485,1267.40400801472,2339.80688806995,1837.8308499503,2938.16780674537,1250.34804010665,1409.07444356163,1574.40507654788,916.944434491736,2178.23516434697
"10","SeineDownstream",10,186319228.496485,1285.38384056729,2653.43237566069,2081.56720217022,3356.01803711771,1230.1519317588,1393.66613428337,1555.82395753015,979.349150944064,2089.32170175987
"11","SeineDownstream",11,186319228.496485,1552.53721509715,3003.30937387406,2330.74843946461,3810.4882239384,1513.47297095555,1709.06419178997,1909.00535904481,1148.44660754822,2609.84698729478
"12","SeineDownstream",12,186319228.496485,2102.70421334875,5224.74406657372,4066.53933586666,6587.68971693986,1890.45058468939,2169.39884189387,2415.01838582067,1724.61946410623,3059.81304581491
"13","SeineDownstream",13,186319228.496485,1203.41328380942,2633.41626001377,2062.90095719066,3343.23504629844,1134.12868612418,1288.68095048879,1437.80162193211,937.61526970418,1902.09978012074
"14","SeineDownstream",14,186319228.496485,2249.65299814848,5177.39922623871,4038.18825820617,6514.03273748048,2080.07609073882,2372.26145642512,2644.71939250653,1791.78658858248,3438.74459016712
"15","SeineDownstream",15,186319228.496485,3189.86856511699,8028.67869803851,6257.11909449215,10270.4675618403,2845.58970685734,3272.32449952116,3640.93680867393,2640.40923113569,4576.08113069333
"16","SeineDownstream",16,186319228.496485,2612.29984109365,6434.35885388714,5009.53939056995,8140.80306852768,2355.05967226724,2700.78932651003,3007.05604597542,2136.58498163609,3819.81051317058
"17","SeineDownstream",17,186319228.496485,1897.56410998572,4357.24719150051,3397.0708185906,5492.27612650314,1756.53183472541,2002.719859144,2232.88715122778,1508.87674268416,2906.77125624247
"18","SeineDownstream",18,186319228.496485,1316.63058918354,2882.11598108143,2234.02608704216,3641.5516532476,1238.91826997917,1408.16592992368,1571.02684156522,1027.91167515473,2075.30889634817
"19","SeineDownstream",19,186319228.496485,1086.9150696963,2521.877583612,1942.32432735453,3205.89446668177,1002.27385566485,1143.58169431263,1274.80495928747,867.462298079245,1654.12943061521
"20","SeineDownstream",20,186319228.496485,961.596176425363,1986.9148011285,1541.40677219179,2518.86900023055,919.962489863705,1042.27375269565,1163.54539222089,732.703447013346,1562.28115111078
"21","SeineDownstream",21,186319228.496485,614.911269800059,1190.74867015439,929.993481966718,1496.79313880806,599.512869442321,676.993652780077,756.18879242746,454.921207133339,1033.80182051767
"22","SeineDownstream",22,186319228.496485,208.492941483889,388.68350052895,300.08646453086,487.139262073721,205.211123264734,231.34993453654,258.481093991082,151.503951481698,356.797495903511
"23","SeineDownstream",23,186319228.496485,291.094142194497,534.134586749397,416.980453905334,680.677462354663,287.641028782275,324.062475620654,362.102353864587,209.863819702519,501.850267161519
"24","SeineDownstream",24,186319228.496485,310.002921060478,553.756281214824,435.684420002387,701.157742462041,308.589828437005,347.240198326067,388.063237232365,220.063472783034,541.917302885899
"25","SeineDownstream",25,186319228.496485,451.315904504986,789.695107116088,615.56894899768,990.044876489699,453.918742577149,509.904730414936,569.959530117449,312.480016538466,804.868970941659
"26","SeineDownstream",26,186319228.496485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","SeineDownstream",27,186319228.496485,NA,NA,NA,NA,NA,NA,NA,NA,NA
