"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_Lauerwald2015"
"1","StLawrenceUpstream",1,106208924.72498,NA,0.251147509808984,0.221869433568461,0.281605079978477,0.632757857378312,0.871197430517817,1.09479393641968
"2","StLawrenceUpstream",2,106208924.72498,NA,0.867267559489468,0.643555224708455,1.14313154351893,0.918640861111797,1.27138859528653,1.58729648537269
"3","StLawrenceUpstream",3,106208924.72498,NA,1.26506665406401,0.958739303143467,1.65284198958019,1.64163472817605,2.23554627079685,2.84842587069378
"4","StLawrenceUpstream",4,106208924.72498,NA,0.928589276717172,0.687687349743411,1.20670592323441,0.860168253114334,1.20021265018191,1.48313274978971
"5","StLawrenceUpstream",5,106208924.72498,NA,1.66878882852217,1.22577509090772,2.20742157552717,1.3695454451138,1.91177354313176,2.3611587418494
"6","StLawrenceUpstream",6,106208924.72498,NA,1.36752997835875,1.01096522384501,1.81950887683206,1.36978757229348,1.93961962234335,2.35287238789598
"7","StLawrenceUpstream",7,106208924.72498,NA,1.6185065483198,1.19067719897314,2.09871747976693,1.41382414305686,2.01102076486932,2.42568522813798
"8","StLawrenceUpstream",8,106208924.72498,NA,2.322533549533,1.7104424788251,3.07970263226565,1.48188246658416,2.11678316642937,2.53966706962574
"9","StLawrenceUpstream",9,106208924.72498,NA,3.63483436304554,2.64441206239494,4.80035579592744,2.92423372155848,4.15251580623014,5.01923762491873
"10","StLawrenceUpstream",10,106208924.72498,NA,3.11264820278231,2.26076463759843,4.13446167676233,2.41610233207601,3.43569945339443,4.14558415837407
"11","StLawrenceUpstream",11,106208924.72498,NA,4.22150458581582,3.15702595035056,5.47180211798746,2.22095977211934,3.14500923508586,3.81488297691479
"12","StLawrenceUpstream",12,106208924.72498,NA,4.0198280299025,2.89705515680796,5.34316929595055,2.48524904594805,3.54941088059373,4.25944147742095
"13","StLawrenceUpstream",13,106208924.72498,NA,2.81317830310178,2.03675644313505,3.78228634139627,2.2240525722485,3.18784836782781,3.80822771009806
