"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Wabash",1,73053184.7918667,104.009683295905,197.148655840744,188.228243038274,206.185614340054,270.817567057562,331.890676038156,344.585761999627,276.354834753666,408.410002227877
"2","Wabash",2,73053184.7918667,227.259419961142,216.23870768424,157.813451838611,284.989542377136,321.297892978483,389.892409403313,403.113149772383,307.049458519611,492.759302909465
"3","Wabash",3,73053184.7918667,190.810958863774,205.315296487094,152.041345989169,269.627190854338,501.436981615946,616.707829622305,640.560421946886,520.066356343076,753.314121419566
"4","Wabash",4,73053184.7918667,171.769285046668,162.351296816359,117.577357849184,215.794036742671,337.239506983235,410.28840829564,424.753474995848,328.604198494342,514.555616772668
"5","Wabash",5,73053184.7918667,481.930771370971,455.614960594835,327.880041213074,602.633741090136,570.641535035329,687.987677100984,710.098257696635,520.99846827363,886.128456703607
"6","Wabash",6,73053184.7918667,276.766614415023,263.668068705212,193.624162528656,349.99478577917,497.663805317965,604.518083600594,625.692004360946,480.680619864319,761.081055987798
"7","Wabash",7,73053184.7918667,460.768868801953,430.746037673208,314.915603115176,570.80379620477,535.496048012454,643.602227550093,663.917854044502,477.958647156265,836.771260140884
"8","Wabash",8,73053184.7918667,720.166042120638,682.397785471866,494.20915854517,907.114139774447,843.27556022606,1015.79687265585,1048.27703104823,765.147505572307,1311.73630116316
"9","Wabash",9,73053184.7918667,1021.45060500121,948.334109892508,686.04977154651,1266.7890534134,1170.18194399464,1404.24221178084,1448.1828130631,1032.20890539604,1834.52269296296
"10","Wabash",10,73053184.7918667,913.147092597683,858.261006055026,628.595184179069,1149.84952143168,1174.81474693512,1419.55700663427,1466.24862367876,1091.06180268907,1815.85212043483
"11","Wabash",11,73053184.7918667,1080.26015741565,896.438830708259,648.589878589413,1219.77533470254,1285.33488371763,1531.25589154782,1575.55488243038,1057.95347755377,2053.62585433631
"12","Wabash",12,73053184.7918667,882.460216505618,534.156366920806,356.789227618077,773.713560207745,1103.9675031474,1302.10338926224,1334.46135298106,797.12328365071,1824.24962239262
