"","x"
"1",2.05900071535409
"2",2.01887063050098
"3",2.06126979482355
"4",2.41887213222917
"5",1.74932964715076
"6",2.4618552039017
"7",1.31863621881143
"8",2.5488362605143
"9",2.20638340544926
"10",2.09393857277835
"11",2.44284148984705
"12",1.91822235324102
"13",2.38673458619191
"14",2.74450802725082
"15",2.34561498336272
"16",2.42351368905388
"17",2.21392983610584
"18",1.82288961424414
"19",2.40221979026298
"20",2.46348000327034
"21",1.94667649058933
"22",1.77782116679832
"23",2.44745481306433
"24",2.33718461246537
"25",2.20043360366159
"26",2.47368434603879
"27",2.18322326283832
"28",2.29716435447276
"29",2.60514409812319
"30",2.134072050029
"31",2.28258733368421
"32",2.28847933905728
"33",1.85777150422893
"34",1.81825360130209
"35",2.37118964846872
"36",2.38096039397757
"37",2.20969944655365
"38",3.14368189984401
"39",1.83203714536886
"40",2.41429481336388
"41",2.47301238795939
"42",1.86444977747973
"43",2.52883016018969
"44",1.87457165890591
"45",1.63430161931173
"46",1.92878794234713
"47",2.04703737154613
"48",2.66814280977821
"49",2.43710912870724
"50",1.93622891001522
"51",2.66339098684081
"52",2.01956643719545
"53",2.1916291972743
"54",2.71132737019818
"55",2.26040114329829
"56",2.71226116321757
"57",2.72451416328047
"58",2.28260107642853
"59",2.55482268407375
"60",2.26292014635295
"61",2.09969878085817
"62",2.46282169838844
"63",1.5639037386611
"64",2.35740900563209
"65",1.5631015781254
"66",1.64015814101814
"67",2.59297027377022
"68",2.29051114142843
"69",2.06250402197016
"70",1.41027394667078
"71",2.21603684368676
"72",2.18116490391856
"73",2.36185117095727
"74",1.92209841171294
"75",2.15069136933582
"76",2.611551750373
"77",1.78449314117829
"78",2.06501318672083
"79",2.05587819591613
"80",2.71910576462659
"81",1.60058580685824
"82",1.7647475474177
"83",1.94637828351938
"84",1.95780632297331
"85",2.41733886713173
"86",1.74992412318214
"87",0.679261335524018
"88",2.65323822104588
"89",1.44981462600797
"90",1.53342982134672
"91",2.21681817887255
"92",2.25557252407448
"93",2.04956712491365
"94",1.90488447564233
"95",2.39171776889854
"96",2.24197636170834
"97",2.79098817012724
"98",1.71889080336754
"99",1.37891560717687
"100",2.26170746919935
"101",1.18726315326718
"102",2.56583237566556
"103",1.43704850418468
"104",2.34894002689903
"105",2.54681812317777
"106",1.91584795346737
"107",1.56350229133561
"108",2.5209564144403
"109",1.95288289469295
"110",2.54845761285762
"111",2.1882893237729
"112",2.04499982875313
"113",2.36612478343648
"114",2.20177247475969
"115",2.49230434158487
"116",1.6522353472621
"117",2.45343644317886
"118",2.61603566723271
"119",2.24005286513137
"120",2.42164504823578
"121",2.07605459269194
"122",1.73322820975978
"123",2.26951848959408
"124",2.30771077254169
"125",1.97314400272174
"126",2.77199395472045
"127",2.52783170883664
"128",2.50944485184304
"129",1.9062475179679
"130",1.93053325478326
"131",1.94817343496126
"132",2.44337064463786
"133",2.62433616893387
"134",2.39576671727743
"135",2.6468553616857
"136",1.8693499795633
"137",2.39466942730425
"138",2.81378088353267
"139",1.81593107514317
"140",1.95335923007966
"141",2.21642801163184
"142",1.51308487586346
"143",2.00668461760242
"144",2.66454474440805
"145",2.45255489967689
"146",0.992527985962476
"147",1.54042612940906
"148",2.11760697617295
"149",2.52039033176122
"150",2.34974606845003
"151",2.12428878713414
"152",1.90690589270554
"153",2.24781489977223
"154",1.58504796618518
"155",2.32169042758646
"156",2.19725911352298
"157",2.27617047772556
"158",2.22873596582091
"159",2.56791986127844
"160",1.44445867877896
"161",1.88894924353571
"162",2.64709167260861
"163",2.02207406308961
"164",NA
"165",1.99514928197907
"166",2.07040386553474
"167",2.46399284393137
"168",2.43077932193273
"169",2.39009274599085
"170",1.32098980533197
"171",2.03451257197365
"172",2.45712525947216
"173",1.98019768046346
"174",2.46443114760146
"175",1.90229502893749
"176",2.69858131364821
"177",1.86201176906728
"178",1.98839114823494
"179",2.79528048849029
"180",2.01681197334202
"181",1.87533412312721
"182",2.03365022832955
"183",2.08639223513143
"184",2.18541135038754
"185",2.77165196127912
"186",2.24543413063404
"187",2.14562836961009
"188",1.64712717702581
"189",1.92656857337577
"190",1.45977468853898
"191",2.114784814946
"192",2.10971726455318
"193",1.79246104456536
"194",2.7333588242791
"195",2.38854212256332
"196",2.38287692904027
"197",1.77821379564772
"198",1.26880458029934
"199",2.37843290667804
"200",1.67364280894325
"201",1.84929938858928
"202",2.28894740702429
"203",2.03411683642581
"204",2.64133348934452
"205",2.69445370241648
"206",2.18482820370568
"207",1.47892218657065
"208",2.44327408986852
"209",2.03226993832615
"210",2.29282474871021
"211",NA
"212",2.25478035516408
"213",1.58544218332716
"214",1.18918227466884
"215",2.31505820461353
"216",2.2077078301157
"217",1.83679655345922
"218",0.896652227739148
"219",1.23745726130839
"220",2.06549297469864
"221",2.2546762468017
"222",2.56156823058939
"223",1.5706185257257
"224",2.04689294095331
"225",2.1590259365115
"226",2.55113879859067
"227",2.2349882206843
"228",1.6255944259087
"229",2.36039007974285
"230",2.27564801270468
"231",1.65435794577313
"232",2.55924873900152
"233",2.73605346056234
"234",2.44602246924978
"235",2.08522093803926
"236",2.17888944796383
